Timepoint	initially_inactive_x_allele
SRR12152475	Day_9	Mus
SRR12152476	Day_10	Mus
SRR12152477	Day_10	Mus
SRR12152478	Day_9	Mus
SRR12152479	Day_9	Mus
SRR12152480	Day_10	Mus
SRR12152481	Day_10	Mus
SRR12152482	Day_9	Mus
SRR12152483	Day_10	Mus
SRR12152484	Day_10	Mus
SRR12152485	Day_9	Mus
SRR12152486	Day_9	Mus
SRR12152487	Day_10	Mus
SRR12152488	Day_9	Mus
SRR12152489	Day_9	Mus
SRR12152490	Day_10	Mus
SRR12152491	Day_9	Mus
SRR12152492	Day_9	Mus
SRR12152493	Day_10	Mus
SRR12152494	Day_10	Mus
SRR12152495	Day_9	Mus
SRR12152496	Day_9	Mus
SRR12152497	Day_10	Mus
SRR12152498	Day_10	Mus
SRR12152499	Day_0	Mus
SRR12152500	Day_8	Mus
SRR12152501	Day_8	Mus
SRR12152502	Day_0	Mus
SRR12152503	Day_0	Mus
SRR12152504	Day_8	Mus
SRR12152505	Day_8	Mus
SRR12152506	Day_0	Mus
SRR12152507	Day_8	Mus
SRR12152508	Day_8	Mus
SRR12152509	Day_0	Mus
SRR12152510	Day_0	Mus
SRR12152511	Day_8	Mus
SRR12152512	Day_0	Mus
SRR12152513	Day_0	Mus
SRR12152514	Day_8	Mus
SRR12152515	Day_0	Mus
SRR12152516	Day_0	Mus
SRR12152517	Day_8	Mus
SRR12152518	Day_8	Mus
SRR12152519	Day_0	Mus
SRR12152520	Day_0	Mus
SRR12152521	Day_8	Mus
SRR12152522	Day_8	Mus
SRR12152523	Day_9	Mus
SRR12152524	Day_10	Mus
SRR12152525	Day_10	Mus
SRR12152526	Day_9	Mus
SRR12152527	Day_9	Mus
SRR12152528	Day_10	Mus
SRR12152529	Day_10	Mus
SRR12152530	Day_9	Mus
SRR12152531	Day_10	Mus
SRR12152532	Day_10	Mus
SRR12152533	Day_9	Mus
SRR12152534	Day_9	Mus
SRR12152535	Day_10	Mus
SRR12152536	Day_9	Mus
SRR12152537	Day_9	Mus
SRR12152538	Day_10	Mus
SRR12152539	Day_9	Mus
SRR12152540	Day_9	Mus
SRR12152541	Day_10	Mus
SRR12152542	Day_10	Mus
SRR12152543	Day_9	Mus
SRR12152544	Day_9	Mus
SRR12152545	Day_10	Mus
SRR12152546	Day_10	Mus
SRR12152547	Day_0	Mus
SRR12152548	Day_8	Mus
SRR12152549	Day_8	Mus
SRR12152550	Day_0	Mus
SRR12152551	Day_0	Mus
SRR12152552	Day_8	Mus
SRR12152553	Day_8	Mus
SRR12152554	Day_0	Mus
SRR12152555	Day_8	Mus
SRR12152556	Day_8	Mus
SRR12152558	Day_0	Mus
SRR12152559	Day_8	Mus
SRR12152560	Day_0	Mus
SRR12152561	Day_0	Mus
SRR12152562	Day_8	Mus
SRR12152563	Day_0	Mus
SRR12152564	Day_0	Mus
SRR12152565	Day_8	Mus
SRR12152566	Day_8	Mus
SRR12152567	Day_0	Mus
SRR12152568	Day_0	Mus
SRR12152569	Day_8	Mus
SRR12152570	Day_8	Mus
SRR12152571	Day_0	Mus
SRR12152572	Day_8	Mus
SRR12152573	Day_8	Mus
SRR12152574	Day_0	Mus
SRR12152575	Day_0	Mus
SRR12152576	Day_8	Mus
SRR12152577	Day_8	Mus
SRR12152578	Day_0	Mus
SRR12152579	Day_8	Mus
SRR12152580	Day_8	Mus
SRR12152582	Day_0	Mus
SRR12152583	Day_8	Mus
SRR12152584	Day_0	Mus
SRR12152585	Day_0	Mus
SRR12152586	Day_8	Mus
SRR12152587	Day_0	Mus
SRR12152588	Day_0	Mus
SRR12152589	Day_8	Mus
SRR12152590	Day_8	Mus
SRR12152591	Day_0	Mus
SRR12152592	Day_0	Mus
SRR12152594	Day_8	Mus
SRR12152595	Day_9	Mus
SRR12152596	Day_10	Mus
SRR12152597	Day_10	Mus
SRR12152598	Day_9	Mus
SRR12152599	Day_9	Mus
SRR12152600	Day_10	Mus
SRR12152601	Day_10	Mus
SRR12152602	Day_9	Mus
SRR12152603	Day_10	Mus
SRR12152604	Day_10	Mus
SRR12152605	Day_9	Mus
SRR12152606	Day_9	Mus
SRR12152607	Day_10	Mus
SRR12152608	Day_9	Mus
SRR12152609	Day_9	Mus
SRR12152610	Day_10	Mus
SRR12152611	Day_9	Mus
SRR12152612	Day_9	Mus
SRR12152613	Day_10	Mus
SRR12152614	Day_10	Mus
SRR12152615	Day_9	Mus
SRR12152616	Day_9	Mus
SRR12152617	Day_10	Mus
SRR12152618	Day_10	Mus
SRR12152619	Day_0	Mus
SRR12152620	Day_8	Mus
SRR12152621	Day_8	Mus
SRR12152622	Day_0	Mus
SRR12152623	Day_0	Mus
SRR12152624	Day_8	Mus
SRR12152625	Day_8	Mus
SRR12152626	Day_0	Mus
SRR12152627	Day_8	Mus
SRR12152628	Day_8	Mus
SRR12152629	Day_0	Mus
SRR12152630	Day_0	Mus
SRR12152631	Day_8	Mus
SRR12152633	Day_0	Mus
SRR12152634	Day_8	Mus
SRR12152635	Day_0	Mus
SRR12152636	Day_0	Mus
SRR12152637	Day_8	Mus
SRR12152638	Day_8	Mus
SRR12152639	Day_0	Mus
SRR12152640	Day_0	Mus
SRR12152641	Day_8	Mus
SRR12152642	Day_8	Mus
SRR12152643	Day_0	Mus
SRR12152644	Day_8	Mus
SRR12152645	Day_8	Mus
SRR12152646	Day_0	Mus
SRR12152647	Day_0	Mus
SRR12152648	Day_8	Mus
SRR12152649	Day_8	Mus
SRR12152651	Day_8	Mus
SRR12152652	Day_8	Mus
SRR12152653	Day_0	Mus
SRR12152655	Day_8	Mus
SRR12152656	Day_0	Mus
SRR12152657	Day_0	Mus
SRR12152658	Day_8	Mus
SRR12152659	Day_0	Mus
SRR12152660	Day_0	Mus
SRR12152661	Day_8	Mus
SRR12152663	Day_0	Mus
SRR12152664	Day_0	Mus
SRR12152665	Day_8	Mus
SRR12152666	Day_8	Mus
SRR12152667	Day_9	Mus
SRR12152668	Day_10	Mus
SRR12152670	Day_9	Mus
SRR12152671	Day_9	Mus
SRR12152672	Day_10	Mus
SRR12152673	Day_10	Mus
SRR12152674	Day_9	Mus
SRR12152675	Day_10	Mus
SRR12152676	Day_10	Mus
SRR12152677	Day_9	Mus
SRR12152678	Day_9	Mus
SRR12152680	Day_9	Mus
SRR12152681	Day_9	Mus
SRR12152682	Day_10	Mus
SRR12152683	Day_9	Mus
SRR12152684	Day_9	Mus
SRR12152685	Day_10	Mus
SRR12152687	Day_9	Mus
SRR12152688	Day_9	Mus
SRR12152689	Day_10	Mus
SRR12152690	Day_10	Mus
SRR12152691	Day_0	Mus
SRR12152692	Day_8	Mus
SRR12152693	Day_8	Mus
SRR12152694	Day_0	Mus
SRR12152695	Day_0	Mus
SRR12152696	Day_8	Mus
SRR12152698	Day_0	Mus
SRR12152699	Day_8	Mus
SRR12152700	Day_8	Mus
SRR12152701	Day_0	Mus
SRR12152702	Day_0	Mus
SRR12152703	Day_8	Mus
SRR12152704	Day_0	Mus
SRR12152705	Day_0	Mus
SRR12152706	Day_8	Mus
SRR12152707	Day_0	Mus
SRR12152708	Day_0	Mus
SRR12152709	Day_8	Mus
SRR12152710	Day_8	Mus
SRR12152711	Day_0	Mus
SRR12152712	Day_0	Mus
SRR12152713	Day_8	Mus
SRR12152714	Day_8	Mus
SRR12152716	Day_10	Mus
SRR12152717	Day_10	Mus
SRR12152718	Day_9	Mus
SRR12152719	Day_9	Mus
SRR12152720	Day_10	Mus
SRR12152721	Day_10	Mus
SRR12152722	Day_9	Mus
SRR12152723	Day_10	Mus
SRR12152724	Day_10	Mus
SRR12152725	Day_9	Mus
SRR12152726	Day_9	Mus
SRR12152727	Day_10	Mus
SRR12152728	Day_9	Mus
SRR12152729	Day_9	Mus
SRR12152730	Day_10	Mus
SRR12152731	Day_9	Mus
SRR12152732	Day_9	Mus
SRR12152733	Day_10	Mus
SRR12152734	Day_10	Mus
SRR12152735	Day_9	Mus
SRR12152736	Day_9	Mus
SRR12152737	Day_10	Mus
SRR12152738	Day_10	Mus
SRR12152739	Day_9	Mus
SRR12152740	Day_10	Mus
SRR12152741	Day_10	Mus
SRR12152742	Day_9	Mus
SRR12152743	Day_9	Mus
SRR12152744	Day_10	Mus
SRR12152745	Day_10	Mus
SRR12152746	Day_9	Mus
SRR12152747	Day_10	Mus
SRR12152748	Day_10	Mus
SRR12152749	Day_9	Mus
SRR12152750	Day_9	Mus
SRR12152751	Day_10	Mus
SRR12152752	Day_9	Mus
SRR12152753	Day_9	Mus
SRR12152754	Day_10	Mus
SRR12152755	Day_9	Mus
SRR12152756	Day_9	Mus
SRR12152757	Day_10	Mus
SRR12152758	Day_10	Mus
SRR12152759	Day_9	Mus
SRR12152760	Day_9	Mus
SRR12152761	Day_10	Mus
SRR12152762	Day_10	Mus
SRR12152763	Day_0	Mus
SRR12152764	Day_8	Mus
SRR12152765	Day_8	Mus
SRR12152766	Day_0	Mus
SRR12152767	Day_0	Mus
SRR12152768	Day_8	Mus
SRR12152769	Day_8	Mus
SRR12152770	Day_0	Mus
SRR12152771	Day_8	Mus
SRR12152772	Day_8	Mus
SRR12152773	Day_0	Mus
SRR12152774	Day_0	Mus
SRR12152775	Day_8	Mus
SRR12152776	Day_0	Mus
SRR12152777	Day_0	Mus
SRR12152778	Day_8	Mus
SRR12152779	Day_0	Mus
SRR12152780	Day_0	Mus
SRR12152781	Day_8	Mus
SRR12152782	Day_8	Mus
SRR12152783	Day_0	Mus
SRR12152784	Day_0	Mus
SRR12152785	Day_8	Mus
SRR12152786	Day_8	Mus
SRR12152787	Day_0	Mus
SRR12152788	Day_8	Mus
SRR12152789	Day_8	Mus
SRR12152790	Day_0	Mus
SRR12152791	Day_0	Mus
SRR12152792	Day_8	Mus
SRR12152793	Day_8	Mus
SRR12152794	Day_0	Mus
SRR12152795	Day_8	Mus
SRR12152796	Day_8	Mus
SRR12152797	Day_0	Mus
SRR12152798	Day_0	Mus
SRR12152799	Day_8	Mus
SRR12152800	Day_0	Mus
SRR12152801	Day_0	Mus
SRR12152802	Day_8	Mus
SRR12152803	Day_0	Mus
SRR12152804	Day_0	Mus
SRR12152806	Day_8	Mus
SRR12152807	Day_0	Mus
SRR12152808	Day_0	Mus
SRR12152809	Day_8	Mus
SRR12152810	Day_8	Mus
SRR12152811	Day_9	Mus
SRR12152812	Day_10	Mus
SRR12152814	Day_9	Mus
SRR12152815	Day_9	Mus
SRR12152816	Day_10	Mus
SRR12152817	Day_10	Mus
SRR12152819	Day_10	Mus
SRR12152820	Day_10	Mus
SRR12152821	Day_9	Mus
SRR12152823	Day_10	Mus
SRR12152824	Day_9	Mus
SRR12152825	Day_9	Mus
SRR12152826	Day_10	Mus
SRR12152827	Day_9	Mus
SRR12152828	Day_9	Mus
SRR12152829	Day_10	Mus
SRR12152831	Day_9	Mus
SRR12152832	Day_9	Mus
SRR12152833	Day_10	Mus
SRR12152834	Day_10	Mus
SRR12152835	Day_9	Mus
SRR12152836	Day_10	Mus
SRR12152837	Day_10	Mus
SRR12152838	Day_9	Mus
SRR12152839	Day_9	Mus
SRR12152840	Day_10	Mus
SRR12152841	Day_10	Mus
SRR12152842	Day_9	Mus
SRR12152843	Day_10	Mus
SRR12152844	Day_10	Mus
SRR12152845	Day_9	Mus
SRR12152846	Day_9	Mus
SRR12152848	Day_9	Mus
SRR12152849	Day_9	Mus
SRR12152850	Day_10	Mus
SRR12152851	Day_9	Mus
SRR12152852	Day_9	Mus
SRR12152853	Day_10	Mus
SRR12152854	Day_10	Mus
SRR12152855	Day_9	Mus
SRR12152856	Day_9	Mus
SRR12152857	Day_10	Mus
SRR12152858	Day_10	Mus
SRR12152859	Day_12	Cast
SRR12152861	Day_12	Cast
SRR12152862	Day_12	Cast
SRR12152863	Day_12	Cast
SRR12152864	Day_12	Cast
SRR12152866	Day_12	Cast
SRR12152867	Day_12	Cast
SRR12152868	Day_12	Cast
SRR12152869	Day_12	Cast
SRR12152870	Day_12	Cast
SRR12152871	Day_12	Mus
SRR12152872	iPSCs	Mus
SRR12152873	iPSCs	Mus
SRR12152874	Day_12	Mus
SRR12152875	Day_12	Mus
SRR12152876	iPSCs	Mus
SRR12152877	iPSCs	Mus
SRR12152878	Day_12	Mus
SRR12152879	iPSCs	Mus
SRR12152880	iPSCs	Mus
SRR12152881	Day_12	Mus
SRR12152882	Day_12	Mus
SRR12152883	iPSCs	Mus
SRR12152884	Day_12	Mus
SRR12152885	Day_12	Mus
SRR12152886	iPSCs	Mus
SRR12152887	Day_12	Mus
SRR12152888	Day_12	Mus
SRR12152889	iPSCs	Mus
SRR12152890	iPSCs	Mus
SRR12152891	Day_12	Mus
SRR12152892	Day_12	Mus
SRR12152893	iPSCs	Mus
SRR12152894	iPSCs	Mus
SRR12152895	Day_12	Cast
SRR12152896	Day_12	Cast
SRR12152898	Day_12	Cast
SRR12152899	Day_12	Cast
SRR12152900	Day_12	Cast
SRR12152901	Day_12	Cast
SRR12152902	Day_12	Cast
SRR12152903	Day_12	Cast
SRR12152904	Day_12	Cast
SRR12152905	Day_12	Cast
SRR12152906	Day_12	Cast
SRR12152907	Day_12	Mus
SRR12152908	iPSCs	Mus
SRR12152909	iPSCs	Mus
SRR12152910	Day_12	Mus
SRR12152911	Day_12	Mus
SRR12152912	iPSCs	Mus
SRR12152913	iPSCs	Mus
SRR12152914	Day_12	Mus
SRR12152915	iPSCs	Mus
SRR12152916	iPSCs	Mus
SRR12152917	Day_12	Mus
SRR12152918	Day_12	Mus
SRR12152919	iPSCs	Mus
SRR12152920	Day_12	Mus
SRR12152921	Day_12	Mus
SRR12152922	iPSCs	Mus
SRR12152923	Day_12	Mus
SRR12152924	Day_12	Mus
SRR12152925	iPSCs	Mus
SRR12152926	iPSCs	Mus
SRR12152927	Day_12	Mus
SRR12152928	Day_12	Mus
SRR12152929	iPSCs	Mus
SRR12152930	iPSCs	Mus
SRR12152931	Day_12	Mus
SRR12152932	iPSCs	Mus
SRR12152933	iPSCs	Mus
SRR12152934	Day_12	Mus
SRR12152937	iPSCs	Mus
SRR12152938	Day_12	Mus
SRR12152939	iPSCs	Mus
SRR12152940	iPSCs	Mus
SRR12152942	Day_12	Mus
SRR12152943	iPSCs	Mus
SRR12152944	Day_12	Mus
SRR12152945	Day_12	Mus
SRR12152946	iPSCs	Mus
SRR12152947	Day_12	Mus
SRR12152948	Day_12	Mus
SRR12152949	iPSCs	Mus
SRR12152951	Day_12	Mus
SRR12152954	iPSCs	Mus
SRR12152955	Day_12	Cast
SRR12152958	Day_12	Cast
SRR12152961	Day_12	Cast
SRR12152962	Day_12	Cast
SRR12152967	Day_12	Mus
SRR12152968	iPSCs	Mus
SRR12152969	iPSCs	Mus
SRR12152970	Day_12	Mus
SRR12152971	Day_12	Mus
SRR12152972	iPSCs	Mus
SRR12152973	iPSCs	Mus
SRR12152974	Day_12	Mus
SRR12152975	iPSCs	Mus
SRR12152976	iPSCs	Mus
SRR12152977	Day_12	Mus
SRR12152978	Day_12	Mus
SRR12152979	iPSCs	Mus
SRR12152981	Day_12	Mus
SRR12152982	iPSCs	Mus
SRR12152983	Day_12	Mus
SRR12152984	Day_12	Mus
SRR12152985	iPSCs	Mus
SRR12152986	iPSCs	Mus
SRR12152987	Day_12	Mus
SRR12152988	Day_12	Mus
SRR12152989	iPSCs	Mus
SRR12152990	iPSCs	Mus
SRR12152991	Day_12	Mus
SRR12152992	iPSCs	Mus
SRR12152994	Day_12	Mus
SRR12152995	Day_12	Mus
SRR12152996	iPSCs	Mus
SRR12152997	iPSCs	Mus
SRR12152998	Day_12	Mus
SRR12152999	iPSCs	Mus
SRR12153000	iPSCs	Mus
SRR12153001	Day_12	Mus
SRR12153002	Day_12	Mus
SRR12153003	iPSCs	Mus
SRR12153004	Day_12	Mus
SRR12153005	Day_12	Mus
SRR12153006	iPSCs	Mus
SRR12153007	Day_12	Mus
SRR12153008	Day_12	Mus
SRR12153009	iPSCs	Mus
SRR12153010	iPSCs	Mus
SRR12153011	Day_12	Mus
SRR12153012	Day_12	Mus
SRR12153013	iPSCs	Mus
SRR12153014	iPSCs	Mus
SRR12153015	Day_12	Cast
SRR12153016	Day_12	Cast
SRR12153017	Day_12	Cast
SRR12153018	Day_12	Cast
SRR12153019	Day_12	Cast
SRR12153020	Day_12	Cast
SRR12153021	Day_12	Cast
SRR12153022	Day_12	Cast
SRR12153023	Day_12	Cast
SRR12153024	Day_12	Cast
SRR12153026	Day_12	Cast
SRR12153027	Day_12	Mus
SRR12153028	iPSCs	Mus
SRR12153029	iPSCs	Mus
SRR12153030	Day_12	Mus
SRR12153031	Day_12	Mus
SRR12153032	iPSCs	Mus
SRR12153033	iPSCs	Mus
SRR12153034	Day_12	Mus
SRR12153035	iPSCs	Mus
SRR12153036	iPSCs	Mus
SRR12153037	Day_12	Mus
SRR12153038	Day_12	Mus
SRR12153039	iPSCs	Mus
SRR12153040	Day_12	Mus
SRR12153041	Day_12	Mus
SRR12153042	iPSCs	Mus
SRR12153043	Day_12	Mus
SRR12153044	Day_12	Mus
SRR12153045	iPSCs	Mus
SRR12153046	iPSCs	Mus
SRR12153047	Day_12	Mus
SRR12153048	Day_12	Mus
SRR12153050	iPSCs	Mus
SRR12153051	Day_12	Cast
SRR12153052	Day_12	Cast
SRR12153053	Day_12	Cast
SRR12153054	Day_12	Cast
SRR12153055	Day_12	Cast
SRR12153056	Day_12	Cast
SRR12153057	Day_12	Cast
SRR12153058	Day_12	Cast
SRR12153059	Day_12	Cast
SRR12153060	Day_12	Cast
SRR12153061	Day_12	Cast
SRR12153063	Day_12	Cast
SRR12153064	Day_12	Cast
SRR12153065	Day_12	Cast
SRR12153066	Day_12	Cast
SRR12153067	Day_12	Cast
SRR12153068	Day_12	Cast
SRR12153069	Day_12	Cast
SRR12153070	Day_12	Cast
SRR12153071	Day_12	Cast
SRR12153072	Day_12	Cast
SRR12153073	Day_12	Cast
SRR12153074	Day_12	Cast
SRR12153075	Day_12	Mus
SRR12153076	iPSCs	Mus
SRR12153077	iPSCs	Mus
SRR12153078	Day_12	Mus
SRR12153079	Day_12	Mus
SRR12153080	iPSCs	Mus
SRR12153081	iPSCs	Mus
SRR12153082	Day_12	Mus
SRR12153083	iPSCs	Mus
SRR12153084	iPSCs	Mus
SRR12153085	Day_12	Mus
SRR12153086	Day_12	Mus
SRR12153087	iPSCs	Mus
SRR12153088	Day_12	Mus
SRR12153089	Day_12	Mus
SRR12153090	iPSCs	Mus
SRR12153091	Day_12	Mus
SRR12153092	Day_12	Mus
SRR12153093	iPSCs	Mus
SRR12153094	iPSCs	Mus
SRR12153095	Day_12	Mus
SRR12153096	Day_12	Mus
SRR12153098	iPSCs	Mus
SRR12153099	Day_12	Mus
SRR12153101	iPSCs	Mus
SRR12153102	Day_12	Mus
SRR12153103	Day_12	Mus
SRR12153104	iPSCs	Mus
SRR12153105	iPSCs	Mus
SRR12153106	Day_12	Mus
SRR12153107	iPSCs	Mus
SRR12153108	iPSCs	Mus
SRR12153109	Day_12	Mus
SRR12153110	Day_12	Mus
SRR12153111	iPSCs	Mus
SRR12153112	Day_12	Mus
SRR12153113	Day_12	Mus
SRR12153114	iPSCs	Mus
SRR12153115	Day_12	Mus
SRR12153116	Day_12	Mus
SRR12153117	iPSCs	Mus
SRR12153118	iPSCs	Mus
SRR12153119	Day_12	Mus
SRR12153120	Day_12	Mus
SRR12153121	iPSCs	Mus
SRR12153122	iPSCs	Mus
SRR12153123	Day_12	Cast
SRR12153125	Day_12	Cast
SRR12153126	Day_12	Cast
SRR12153127	Day_12	Cast
SRR12153128	Day_12	Cast
SRR12153129	Day_12	Cast
SRR12153130	Day_12	Cast
SRR12153131	Day_12	Cast
SRR12153133	Day_12	Cast
SRR12153135	Day_12	Cast
SRR12153137	Day_12	Cast
SRR12153138	Day_12	Cast
SRR12153139	Day_12	Cast
SRR12153140	Day_12	Cast
SRR12153141	Day_12	Cast
SRR12153142	Day_12	Cast
SRR12153143	Day_12	Cast
SRR12153144	Day_12	Cast
SRR12153145	Day_12	Cast
SRR12153146	Day_12	Cast
